0	0.62	0.015	1
0.1	0.62	0.015	1.0015
0.2	0.61	0.015	1.003
0.3	0.61	0.015	1.0045
0.4	0.60	0.015	1.006
0.5	0.60	0.015	1.0075
0.6	0.58	0.015	1.009
0.7	0.57	0.015	1.0105
0.8	0.55	0.015	1.012
0.9	0.53	0.015	1.0135
1	0.51	0.015	1.015
1.1	0.50	0.015	1.0165
1.2	0.48	0.015	1.018
1.3	0.46	0.015	1.0195
1.4	0.44	0.015	1.021
1.5	0.43	0.015	1.0225
1.6	0.44	0.015	1.024
1.7	0.45	0.015	1.0255
1.8	0.45	0.015	1.027
1.9	0.46	0.015	1.0285
2	0.47	0.015	1.03
2.1	0.48	0.015	1.0315
2.2	0.48	0.015	1.033
2.3	0.49	0.015	1.0345
2.4	0.50	0.015	1.036
2.5	0.50	0.015	1.0375
2.6	0.51	0.015	1.039
2.7	0.52	0.015	1.0405
2.8	0.53	0.015	1.042
2.9	0.53	0.015	1.0435
3	0.54	0.015	1.045
3.1	0.55	0.015	1.0465
3.2	0.55	0.015	1.048
3.3	0.56	0.015	1.0495
3.4	0.57	0.015	1.051
3.5	0.58	0.015	1.0525
3.6	0.58	0.015	1.054
3.7	0.59	0.015	1.0555
3.8	0.60	0.015	1.057
3.9	0.61	0.015	1.0585
4	0.61	0.015	1.06
4.1	0.62	0.015	1.0615
4.2	0.63	0.015	1.063
4.3	0.63	0.015	1.0645
4.4	0.64	0.015	1.066
4.5	0.64	0.015	1.0675
4.6	0.63	0.015	1.069
4.7	0.62	0.015	1.0705
4.8	0.61	0.015	1.072
4.9	0.61	0.015	1.0735
5	0.60	0.015	1.075
5.1	0.59	0.015	1.0765
5.2	0.58	0.015	1.078
5.3	0.57	0.015	1.0795
5.4	0.56	0.015	1.081
5.5	0.55	0.015	1.0825
5.6	0.55	0.015	1.084
5.7	0.54	0.015	1.0855
5.8	0.53	0.015	1.087
5.9	0.57	0.015	1.0885
6	0.63	0.015	1.09
6.1	0.70	0.015	1.0915
6.2	0.73	0.015	1.093
6.3	0.75	0.015	1.0945
6.4	0.76	0.015	1.096
6.5	0.77	0.015	1.0975
6.6	0.77	0.015	1.099
6.7	0.76	0.015	1.1005
6.8	0.75	0.015	1.102
6.9	0.74	0.015	1.1035
7	0.72	0.015	1.105
7.1	0.70	0.015	1.1065
7.2	0.67	0.015	1.108
7.3	0.65	0.015	1.1095
7.4	0.62	0.015	1.111
7.5	0.59	0.015	1.1125
7.6	0.57	0.015	1.114
7.7	0.54	0.015	1.1155
7.8	0.51	0.015	1.117
7.9	0.49	0.015	1.1185
8	0.46	0.015	1.12
8.1	0.44	0.015	1.1215
8.2	0.41	0.015	1.123
8.3	0.38	0.015	1.1245
8.4	0.37	0.015	1.126
8.5	0.38	0.015	1.1275
8.6	0.39	0.015	1.129
8.7	0.40	0.015	1.1305
8.8	0.41	0.015	1.132
8.9	0.41	0.015	1.1335
9	0.42	0.015	1.135
9.1	0.43	0.015	1.1365
9.2	0.44	0.015	1.138
9.3	0.45	0.015	1.1395
9.4	0.45	0.015	1.141
9.5	0.46	0.015	1.1425
9.6	0.47	0.015	1.144
9.7	0.48	0.015	1.1455
9.8	0.49	0.015	1.147
9.9	0.49	0.015	1.1485
10	0.50	0.015	1.15
10.1	0.51	0.015	1.1515
10.2	0.52	0.015	1.153
10.3	0.53	0.015	1.1545
10.4	0.53	0.015	1.156
10.5	0.54	0.015	1.1575
10.6	0.55	0.015	1.159
10.7	0.56	0.015	1.1605
10.8	0.56	0.015	1.162
10.9	0.56	0.015	1.1635
11	0.55	0.015	1.165
11.1	0.54	0.015	1.1665
11.2	0.54	0.015	1.168
11.3	0.53	0.015	1.1695
11.4	0.53	0.015	1.171
11.5	0.52	0.015	1.1725
11.6	0.52	0.015	1.174
11.7	0.51	0.015	1.1755
11.8	0.51	0.015	1.177
11.9	0.50	0.015	1.1785
12	0.49	0.015	1.18
12.1	0.49	0.015	1.1815
12.2	0.48	0.015	1.183
12.3	0.48	0.015	1.1845
12.4	0.47	0.015	1.186
12.5	0.47	0.015	1.1875
12.6	0.50	0.015	1.189
12.7	0.55	0.015	1.1905
12.8	0.60	0.015	1.192
12.9	0.65	0.015	1.1935
13	0.70	0.015	1.195
13.1	0.69	0.015	1.1965
13.2	0.68	0.015	1.198
13.3	0.67	0.015	1.1995
13.4	0.65	0.015	1.201
13.5	0.64	0.015	1.2025
13.6	0.63	0.015	1.204
13.7	0.62	0.015	1.2055
13.8	0.61	0.015	1.207
13.9	0.60	0.015	1.2085
14	0.59	0.015	1.21
14.1	0.57	0.015	1.2115
14.2	0.56	0.015	1.213
14.3	0.55	0.015	1.2145
14.4	0.54	0.015	1.216
14.5	0.53	0.015	1.2175
14.6	0.52	0.015	1.219
14.7	0.51	0.015	1.2205
14.8	0.49	0.015	1.222
14.9	0.48	0.015	1.2235
15	0.47	0.015	1.225
15.1	0.47	0.015	1.2265
15.2	0.47	0.015	1.228
15.3	0.47	0.015	1.2295
15.4	0.47	0.015	1.231
15.5	0.47	0.015	1.2325
15.6	0.47	0.015	1.234
15.7	0.47	0.015	1.2355
15.8	0.47	0.015	1.237
15.9	0.47	0.015	1.2385
16	0.47	0.015	1.24
16.1	0.47	0.015	1.2415
16.2	0.47	0.015	1.243
16.3	0.47	0.015	1.2445
16.4	0.47	0.015	1.246
